Title,Variety,Appelation,Rating,Price
Ravoire et Fils 2017 Olivier Ravoire  (Côte Rôtie), Côte Rôtie, Rhône Valley, 94, 80
Cave de Tain 2017 Arènes Sauvages  (Cornas), Cornas, Rhône Valley, 93, 100
Domaine des Remizières 2017  Cornas, Domaine des Remizières 2017  Corna, Rhône Valley, 92, 60
Domaine de Verquiere 2017 Red (Rasteau), Rasteau, Rhône Valley, 92, /A
Domaine le Colombier 2018 Cuvée G Red (Vacqueyras), Vacqueyras, Rhône Valley, 91, 30
Château de Manissy 2017 Trinité Red (Lirac), Lirac, Rhône Valley, 90, 20
Etienne Oudart 2014 Millésime Brut Chardonnay (Champagne), Champagne, Rhône Valley, 91, 68
Etienne Oudart NV Brut Réference  (Champagne), Champagne, Rhône Valley, 89, 51
Etienne Oudart NV Brut Rosé Réference  (Champagne), Champagne, Rhône Valley, 88, 57
Marrenon 2017 Grand Marrenon Red (Luberon), Luberon, Rhône Valley, 90, 17
Marrenon 2018 Grand Marrenon White (Luberon), Luberon, Rhône Valley, 90, 20
Château Fontvert 2018 Souleu e Terraire White (Luberon), Luberon, Rhône Valley, 89, /A
French Pool Toy 2019 White (Vin de France), Vin de France, Champagne, 85, 14
French Pool Toy 2019 Rosé (Vin de France), Vin de France, Champagne, 85, 14
Josmeyer 2017 Le Fromenteau Pinot Gris (Alsace), Alsace, Champagne, 93, 45
Château La Mothe du Barry 2019 Cuvée French Kiss  (Entre-Deux-Mers), Entre-Deux-Mers, Champagne, 86, 17
Domaine Brusset 2017 Les Hauts de Montmirail  (Gigondas), Gigondas, Champagne, 95, 50
Josmeyer 2018 Le Kottabe Riesling (Alsace), Alsace, Champagne, 93, 39
Domaine Notre Dame des Pallières 2017 Bois des Mourres  (Gigondas), Gigondas, Rhône Valley, 93, 35
Château de Montmirail 2018 Cuvée Gabriel White (Vacqueyras), Vacqueyras, Rhône Valley, 92, 27
Pascal & Alain Lorieux 2018 Cuvée Agnès Sorel  (Saint-Nicolas-de-Bourgueil), Saint-Nicolas-de-Bourgueil, Loire Valley, 92, 55
Domaine Font Sarade 2017 Cuvée Prestige Red (Vacqueyras), Vacqueyras, Loire Valley, 90, 25
Plaimont 2019 Rosé d'Enfer  (Saint-Mont), Saint-Mont, Rhône Valley, 86, 13
Domaine des Diables 2019 L'Hydropathe Elite Rosé (Côtes de Provence Sainte-Victoire), Côtes de Provence Sainte-Victoire, Rhône Valley, 92, 32
Château Sainte Roseline 2019 Lampe de Méduse par Monsieur Christian Lacroix Rosé (Côtes de Provence), Côtes de Provence, Southwest France, 90, 18
Chateau Les Amoureuses 2017 Les Charmes Red (Côtes du Rhône), Côtes du Rhône, Southwest France, 89, 17
Brotte 2018 Domaine Barville Roussanne (Châteauneuf-du-Pape), Châteauneuf-du-Pape, Provence, 93, 55
Chateau Les Amoureuses 2016 Terres Des Amoureuses Sublime Red (Ardèche), Ardèche, Provence, 92, 35
Château d'Or et de Gueules 2017 La Bolida Red (Costières de Nîmes), Costières de Nîmes, Provence, 92, 40
Chateau Les Amoureuses 2017 La Barbare Red (Côtes du Rhône), Côtes du Rhône, Provence, 90, 20
Château les Ormes de Pez 2017 Cru Bourgeois  (Médoc), Médoc, Rhône Valley, 90, 30
Chateau Les Amoureuses 2016 Le Liby Red (Ardèche), Ardèche, Rhône Valley, 88, 19
Chateau Les Amoureuses 2016 Terres Des Amoureuses Dandy Red (Ardèche), Ardèche, Rhône Valley, 88, 22
Jean-Ernest Descombes 2018 Côte du Py  (Morgon), Morgon, Rhône Valley, 91, 28
Château du Seuil 2017 Biologique  (Graves), Graves, Rhône Valley, 91, 40
Château Bichon Cassignols 2018  Graves, Château Bichon Cassignols 2018  Grave, Rhône Valley, 89, 21
Xavier Flouret 2018 French Blonde  (Sancerre), Sancerre, Rhône Valley, 88, 25
Château Gigognan 2016 Clos du Roi Red (Châteauneuf-du-Pape), Châteauneuf-du-Pape, Rhône Valley, 96, /A
Bosquet des Papes 2016 La Folie Grenache-Mourvèdre (Châteauneuf-du-Pape), Châteauneuf-du-Pape, Rhône Valley, 95, 63
Domaine de Verquiere 2014 Verquière  (Gigondas), Gigondas, Rhône Valley, 93, 40
Château la Croix des Pins 2015 Les Dessous des Dentelles  (Gigondas), Gigondas, Rhône Valley, 90, /A
Château la Croix des Pins 2015 Le Parpaillon  (Gigondas), Gigondas, Rhône Valley, 90, /A
Besserat de Bellefon NV BB Cuvée Brigitte Bardot Sec  (Champagne), Champagne, Rhône Valley, 91, 300
Domaine Loew 2017 Altenberg de Bergbieten Grand Cru Riesling (Alsace), Alsace, Rhône Valley, 96, 49
Josmeyer 2016 Hengst Grand Cru Riesling (Alsace), Alsace, Champagne, 95, 80
Domaine de la Janasse 2016 Prestige White (Châteauneuf-du-Pape), Châteauneuf-du-Pape, Champagne, 94, 144
