dairyprod_label,time,milk_item,value,milk_type
Cheese from cows'milk (pure),2008,Products obtained (1 000 t),"1,718.04",1
Cheese from cows'milk (pure),2009,Products obtained (1 000 t),"1,691.21",1
Cheese from cows'milk (pure),2010,Products obtained (1 000 t),"1,759.47",1
Cheese from cows'milk (pure),2011,Products obtained (1 000 t),"1,765.09",1
Cheese from cows'milk (pure),2012,Products obtained (1 000 t),"1,768.19",1
Cheese from cows'milk (pure),2013,Products obtained (1 000 t),"1,789.10",1
Cheese from cows'milk (pure),2014,Products obtained (1 000 t),"1,785.43",1
Cheese from cows'milk (pure),2015,Products obtained (1 000 t),"1,782.12",1
Cheese from cows'milk (pure),2016,Products obtained (1 000 t),"1,743.55",1
Cheese from cows'milk (pure),2017,Products obtained (1 000 t),"1,744.50",1
Cheese from cows'milk (pure),2018,Products obtained (1 000 t),"1,728.03",1
Cheese from cows'milk (pure),2019,Products obtained (1 000 t),"1,762.95",1
Cheese from ewes milk (pure),2008,Products obtained (1 000 t),25.25,2
Cheese from ewes milk (pure),2009,Products obtained (1 000 t),24.37,2
Cheese from ewes milk (pure),2010,Products obtained (1 000 t),24.25,2
Cheese from ewes milk (pure),2011,Products obtained (1 000 t),25.01,2
Cheese from ewes milk (pure),2012,Products obtained (1 000 t),28.92,2
Cheese from ewes milk (pure),2013,Products obtained (1 000 t),33.14,2
Cheese from ewes milk (pure),2014,Products obtained (1 000 t),51.98,2
Cheese from ewes milk (pure),2015,Products obtained (1 000 t),59.14,2
Cheese from ewes milk (pure),2016,Products obtained (1 000 t),63.3,2
Cheese from ewes milk (pure),2017,Products obtained (1 000 t),63.44,2
Cheese from ewes milk (pure),2018,Products obtained (1 000 t),62.85,2
Cheese from ewes milk (pure),2019,Products obtained (1 000 t),64.31,2
Cheese from goats milk (pure),2008,Products obtained (1 000 t),89.48,3
Cheese from goats milk (pure),2009,Products obtained (1 000 t),90.27,3
Cheese from goats milk (pure),2010,Products obtained (1 000 t),92.74,3
Cheese from goats milk (pure),2011,Products obtained (1 000 t),96.19,3
Cheese from goats milk (pure),2012,Products obtained (1 000 t),96.57,3
Cheese from goats milk (pure),2013,Products obtained (1 000 t),94.49,3
Cheese from goats milk (pure),2014,Products obtained (1 000 t),96.23,3
Cheese from goats milk (pure),2015,Products obtained (1 000 t),100.31,3
Cheese from goats milk (pure),2016,Products obtained (1 000 t),104.03,3
Cheese from goats milk (pure),2017,Products obtained (1 000 t),103.83,3
Cheese from goats milk (pure),2018,Products obtained (1 000 t),108.02,3
Cheese from goats milk (pure),2019,Products obtained (1 000 t),102.41,3
