Department,Cheese,French Page,Milk,Milk Number
Drôme,Pétafine,http://fr.wikipedia.org/wiki/P%C3%A9tafine,Goat Milk,3
Loire-Atlantique,Le Curé Nantais,http://fr.wikipedia.org/wiki/Le_Cur%C3%A9_Nantais,Cow Milk,1
Loiret,Frinault,http://fr.wikipedia.org/wiki/Frinault,Cow Milk,1
Savoie,Tomme de Savoie,http://fr.wikipedia.org/wiki/Tomme_de_Savoie,Cow Milk,1
Seine-Maritime,Bouille,http://fr.wikipedia.org/wiki/Bouille_%28fromage%29,Cow Milk,1
Côte-d'Or,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Eure,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Cow Milk,1
Tarn,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,Sheep Milk,2
Manche,Pont-l'évêque,http://fr.wikipedia.org/wiki/Pont-l%27%C3%A9v%C3%AAque_%28fromage%29,Cow Milk,1
Dordogne,Chaumes,http://fr.wikipedia.org/wiki/Chaumes,Cow Milk,1
Jura,Chevret du Haut-Jura,http://fr.wikipedia.org/wiki/Chevret_du_Haut-Jura,Cow Milk,1
Doubs,Morbier,http://fr.wikipedia.org/wiki/Morbier_%28fromage%29,Cow Milk,1
Ain,Tracle,http://fr.wikipedia.org/wiki/Tracle,Cow Milk,1
Ardèche,Rogeret des Cévennes,http://fr.wikipedia.org/wiki/Rogeret_des_C%C3%A9vennes,Goat Milk,3
Aveyron,Rebarbe,http://fr.wikipedia.org/wiki/Rebarbe,Sheep Milk,2
Corrèze,Ovalie,http://fr.wikipedia.org/wiki/Ovalie_%28marque%29,Sheep Milk,2
Côte-d'Or,L'Ami du Chambertin,http://fr.wikipedia.org/wiki/L%27Ami_du_Chambertin,Cow Milk,1
Haute-Corse,A Filetta,http://fr.wikipedia.org/wiki/A_Filetta_%28marque%29,Sheep Milk,2
Hautes-Alpes,Saint-laurent,http://fr.wikipedia.org/wiki/Saint-laurent_%28fromage%29,Cow Milk,1
Loire-Atlantique,Saint-gildas-des-bois,http://fr.wikipedia.org/wiki/Saint-gildas-des-bois_%28fromage%29,Cow Milk,1
Loiret,Pannes cendré,http://fr.wikipedia.org/wiki/Pannes_cendr%C3%A9,Cow Milk,1
Nord,Dauphin,http://fr.wikipedia.org/wiki/Dauphin_%28fromage%29,Cow Milk,1
Rhône,Tarare,http://fr.wikipedia.org/wiki/Tarare_%28fromage%29,Cow Milk,1
Savoie,Chevrotin,http://fr.wikipedia.org/wiki/Chevrotin,Goat Milk,2
Savoie,Persillé des Aravis,http://fr.wikipedia.org/wiki/Persill%C3%A9_des_Aravis,Goat Milk,2
Cantal,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Aveyron,Gabriel Coulet,http://fr.wikipedia.org/wiki/Gabriel_Coulet_%28marque%29,Sheep Milk,3
Marne,Brie de Meaux,http://fr.wikipedia.org/wiki/Brie_de_Meaux,Cow Milk,1
Cantal,Cantal,http://fr.wikipedia.org/wiki/Cantal_%28fromage%29,Cow Milk,1
Savoie,Tomme crayeuse,http://fr.wikipedia.org/wiki/Tomme_crayeuse,Cow Milk,1
Haute-Marne,Époisses,http://fr.wikipedia.org/wiki/%C3%89poisses_%28fromage%29,Cow Milk,1
Ain,Emmental de Savoie,http://fr.wikipedia.org/wiki/Emmental_de_Savoie,Cow Milk,1
Savoie,Reblochon,http://fr.wikipedia.org/wiki/Reblochon,Cow Milk,1
Lozère,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Cow Milk,1
Hautes-Alpes,Aiguille d'Orcières,http://fr.wikipedia.org/wiki/Aiguille_d%27Orci%C3%A8res,Cow Milk,1
Marne,Moulin de Gaye,http://fr.wikipedia.org/wiki/Moulin_de_Gaye,Cow Milk,1
Puy-de-Dôme,Goat Milkton,http://fr.wikipedia.org/wiki/Ch%C3%A8vreton,Goat Milk,3
Savoie,Beaumont,http://fr.wikipedia.org/wiki/Beaumont_%28fromage%29,Cow Milk,1
Savoie,Bleu de Termignon,http://fr.wikipedia.org/wiki/Bleu_de_Termignon,Cow Milk,1
Morbihan,Tome de Rhuys,http://fr.wikipedia.org/wiki/Tome_de_Rhuys,Cow Milk,1
Lozère,Lévéjac,http://fr.wikipedia.org/wiki/L%C3%A9v%C3%A9jac_%28marque%29,Sheep Milk,2
Mayenne,Vieux pané,http://fr.wikipedia.org/wiki/Vieux_pan%C3%A9,Cow Milk,1
Nord,Boulette d'Avesnes,http://fr.wikipedia.org/wiki/Boulette_d%27Avesnes,Cow Milk,1
Allier,Le Délice du Chalet,http://fr.wikipedia.org/wiki/Le_D%C3%A9lice_du_Chalet,Cow Milk,1
Ardennes,Rocroi,http://fr.wikipedia.org/wiki/Rocroi_%28fromage%29,Cow Milk,1
Cher,Santranges-sancerre,http://fr.wikipedia.org/wiki/Santranges-sancerre,Goat Milk,3
Corrèze,Pavé corrézien,http://fr.wikipedia.org/wiki/Pav%C3%A9_corr%C3%A9zien,Cow Milk,1
Indre,Arthon,http://fr.wikipedia.org/wiki/Arthon_%28fromage%29,Goat Milk,3
Loiret,Chécy,http://fr.wikipedia.org/wiki/Ch%C3%A9cy_%28fromage%29,Cow Milk,1
Pas-de-Calais,Vieux Boulogne,http://fr.wikipedia.org/wiki/Vieux_Boulogne,Cow Milk,1
Rhône,Charolais,http://fr.wikipedia.org/wiki/Charolais_%28fromage%29,Goat Milk,3
Cantal,Tome fraîche,http://fr.wikipedia.org/wiki/Tome_fra%C3%AEche,Cow Milk,1
Charente-Maritime,Caillebotte,http://fr.wikipedia.org/wiki/Caillebotte_%28fromage%29,Cow Milk,1
Loire,Fromager d'Affinois,http://fr.wikipedia.org/wiki/Fromager_d%27Affinois,Cow Milk,1
Maine-et-Loire,Chaussée aux moines,http://fr.wikipedia.org/wiki/Chauss%C3%A9e_aux_moines,Cow Milk,1
Moselle,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Ille-et-Vilaine,Petit Billy,http://fr.wikipedia.org/wiki/Petit_Billy,Goat Milk,3
Charente,Taupinette,http://fr.wikipedia.org/wiki/Taupinette,Goat Milk,3
Aveyron,Pérail,http://fr.wikipedia.org/wiki/P%C3%A9rail,Sheep Milk,2
Savoie,Thollon,http://fr.wikipedia.org/wiki/Thollon,Cow Milk,1
Oise,Tomme au foin,http://fr.wikipedia.org/wiki/Tomme_au_foin,Cow Milk,1
Haute-Loire,Fromage aux artisons,http://fr.wikipedia.org/wiki/Fromage_aux_artisons,Cow Milk,1
Ardèche,Picodon,http://fr.wikipedia.org/wiki/Picodon,Goat Milk,3
Lot,Cabécou,http://fr.wikipedia.org/wiki/Cab%C3%A9cou,Goat Milk,3
Vosges,Munster,http://fr.wikipedia.org/wiki/Munster_%28fromage%29,Cow Milk,1
Calvados,Pavé d'Auge,http://fr.wikipedia.org/wiki/Pav%C3%A9_d%27Auge,Cow Milk,1
Corrèze,Truffe de Ventadour,http://fr.wikipedia.org/wiki/Truffe_de_Ventadour,Goat Milk,3
Haute-Loire,Bleu de Costaros,http://fr.wikipedia.org/wiki/Bleu_de_Costaros,Cow Milk,1
Indre,Tournon-saint-pierre,http://fr.wikipedia.org/wiki/Tournon-saint-pierre_%28fromage%29,Goat Milk,3
Pas-de-Calais,Pavé aux Algues de Samer,http://fr.wikipedia.org/wiki/Pav%C3%A9_aux_Algues_de_Samer,Cow Milk,1
Yonne,Saint-florentin,http://fr.wikipedia.org/wiki/Saint-florentin_%28fromage%29,Cow Milk,1
Savoie,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Drôme,Foudjou,http://fr.wikipedia.org/wiki/Foudjou,Goat Milk,3
Ain,Pourri bressan,http://fr.wikipedia.org/wiki/Pourri_bressan,Cow Milk,1
Ariège,Le Moulis,http://fr.wikipedia.org/wiki/Le_Moulis,Sheep Milk,2
Isère,Bleu de Lavaldens,http://fr.wikipedia.org/wiki/Bleu_de_Lavaldens,Cow Milk,1
Seine-et-Marne,Coulommiers,http://fr.wikipedia.org/wiki/Coulommiers_%28fromage%29,Cow Milk,1
Pyrénées-Atlantiques,Ossau-iraty,http://fr.wikipedia.org/wiki/Ossau-iraty,Sheep Milk,2
Aveyron,Bleu d'Auvergne,http://fr.wikipedia.org/wiki/Bleu_d%27Auvergne,Cow Milk,1
Doubs,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Ain,Bleu de Gex,http://fr.wikipedia.org/wiki/Bleu_de_Gex,Cow Milk,1
Lozère,Laguiole,http://fr.wikipedia.org/wiki/Laguiole_%28fromage%29,Cow Milk,1
Haute-Loire,Rochebaron,http://fr.wikipedia.org/wiki/Rochebaron,Cow Milk,1
Gard,Picodon,http://fr.wikipedia.org/wiki/Picodon,Goat Milk,3
Indre-et-Loire,Valençay,http://fr.wikipedia.org/wiki/Valen%C3%A7ay_%28fromage%29,Goat Milk,3
Vaucluse,Picodon,http://fr.wikipedia.org/wiki/Picodon,Goat Milk,3
Ain,Clon,http://fr.wikipedia.org/wiki/Clon,Cow Milk,1
Dordogne,St Môret,http://fr.wikipedia.org/wiki/St_M%C3%B4ret,Cow Milk,1
Haute-Saône,Gruyère français,http://fr.wikipedia.org/wiki/Gruy%C3%A8re_fran%C3%A7ais,Cow Milk,1
Hautes-Alpes,Persillé du col Bayard,http://fr.wikipedia.org/wiki/Persill%C3%A9_du_col_Bayard,Cow Milk,1
Loire-Atlantique,Gourmelin,http://fr.wikipedia.org/wiki/Gourmelin_%28fromage%29,Cow Milk,1
Réunion,Mont Bébour,http://fr.wikipedia.org/wiki/Mont_B%C3%A9bour,Cow Milk,1
Réunion,Piton Maïdo,http://fr.wikipedia.org/wiki/Piton_Ma%C3%AFdo_%28fromage%29,Cow Milk,1
Rhône,Rigotte de Condrieu,http://fr.wikipedia.org/wiki/Rigotte_de_Condrieu,Goat Milk,3
Cantal,Saint-nectaire,http://fr.wikipedia.org/wiki/Saint-nectaire_%28fromage%29,Cow Milk,1
