department,cheese,milk,milk_number
Drôme,Pétafine,Goat Milk,3
Loire-Atlantique,Le Curé Nantais,Cow Milk,1
Loiret,Frinault,Cow Milk,1
Savoie,Tomme de Savoie,Cow Milk,1
Seine-Maritime,Bouille,Cow Milk,1
Côte-d'Or,Gruyère français,Cow Milk,1
Eure,Pont-l'évêque,Cow Milk,1
Tarn,Pérail,Sheep Milk,2
Manche,Pont-l'évêque,Cow Milk,1
Dordogne,Chaumes,Cow Milk,1
Jura,Chevret du Haut-Jura,Cow Milk,1
Doubs,Morbier,Cow Milk,1
Ain,Tracle,Cow Milk,1
Ardèche,Rogeret des Cévennes,Goat Milk,3
Aveyron,Rebarbe,Sheep Milk,2
Corrèze,Ovalie,Sheep Milk,2
Côte-d'Or,L'Ami du Chambertin,Cow Milk,1
Haute-Corse,A Filetta,Sheep Milk,2
Hautes-Alpes,Saint-laurent,Cow Milk,1
Loire-Atlantique,Saint-gildas-des-bois,Cow Milk,1
Loiret,Pannes cendré,Cow Milk,1
Nord,Dauphin,Cow Milk,1
Rhône,Tarare,Cow Milk,1
Savoie,Chevrotin,Goat Milk,2
Savoie,Persillé des Aravis,Goat Milk,2
Cantal,Bleu d'Auvergne,Cow Milk,1
Aveyron,Gabriel Coulet,Sheep Milk,3
Marne,Brie de Meaux,Cow Milk,1
Cantal,Cantal,Cow Milk,1
Savoie,Tomme crayeuse,Cow Milk,1
Haute-Marne,Époisses,Cow Milk,1
Ain,Emmental de Savoie,Cow Milk,1
Savoie,Reblochon,Cow Milk,1
Lozère,Tome fraîche,Cow Milk,1
Hautes-Alpes,Aiguille d'Orcières,Cow Milk,1
Marne,Moulin de Gaye,Cow Milk,1
Puy-de-Dôme,Goat Milkton,Goat Milk,3
Savoie,Beaumont,Cow Milk,1
Savoie,Bleu de Termignon,Cow Milk,1
Morbihan,Tome de Rhuys,Cow Milk,1
Lozère,Lévéjac,Sheep Milk,2
Mayenne,Vieux pané,Cow Milk,1
Nord,Boulette d'Avesnes,Cow Milk,1
Allier,Le Délice du Chalet,Cow Milk,1
Ardennes,Rocroi,Cow Milk,1
Cher,Santranges-sancerre,Goat Milk,3
Corrèze,Pavé corrézien,Cow Milk,1
Indre,Arthon,Goat Milk,3
Loiret,Chécy,Cow Milk,1
Pas-de-Calais,Vieux Boulogne,Cow Milk,1
Rhône,Charolais,Goat Milk,3
Cantal,Tome fraîche,Cow Milk,1
Charente-Maritime,Caillebotte,Cow Milk,1
Loire,Fromager d'Affinois,Cow Milk,1
Maine-et-Loire,Chaussée aux moines,Cow Milk,1
Moselle,Munster,Cow Milk,1
Ille-et-Vilaine,Petit Billy,Goat Milk,3
Charente,Taupinette,Goat Milk,3
Aveyron,Pérail,Sheep Milk,2
Savoie,Thollon,Cow Milk,1
Oise,Tomme au foin,Cow Milk,1
Haute-Loire,Fromage aux artisons,Cow Milk,1
Ardèche,Picodon,Goat Milk,3
Lot,Cabécou,Goat Milk,3
Vosges,Munster,Cow Milk,1
Calvados,Pavé d'Auge,Cow Milk,1
Corrèze,Truffe de Ventadour,Goat Milk,3
Haute-Loire,Bleu de Costaros,Cow Milk,1
Indre,Tournon-saint-pierre,Goat Milk,3
Pas-de-Calais,Pavé aux Algues de Samer,Cow Milk,1
Yonne,Saint-florentin,Cow Milk,1
Savoie,Gruyère français,Cow Milk,1
Drôme,Foudjou,Goat Milk,3
Ain,Pourri bressan,Cow Milk,1
Ariège,Le Moulis,Sheep Milk,2
Isère,Bleu de Lavaldens,Cow Milk,1
Seine-et-Marne,Coulommiers,Cow Milk,1
Pyrénées-Atlantiques,Ossau-iraty,Sheep Milk,2
Aveyron,Bleu d'Auvergne,Cow Milk,1
Doubs,Gruyère français,Cow Milk,1
Ain,Bleu de Gex,Cow Milk,1
Lozère,Laguiole,Cow Milk,1
Haute-Loire,Rochebaron,Cow Milk,1
Gard,Picodon,Goat Milk,3
Indre-et-Loire,Valençay,Goat Milk,3
Vaucluse,Picodon,Goat Milk,3
Ain,Clon,Cow Milk,1
Dordogne,St Môret,Cow Milk,1
Haute-Saône,Gruyère français,Cow Milk,1
Hautes-Alpes,Persillé du col Bayard,Cow Milk,1
Loire-Atlantique,Gourmelin,Cow Milk,1
Réunion,Mont Bébour,Cow Milk,1
Réunion,Piton Maïdo,Cow Milk,1
Rhône,Rigotte de Condrieu,Goat Milk,3
Cantal,Saint-nectaire,Cow Milk,1
Haute-Marne,Gruyère français,Cow Milk,1
Lozère,Pélardon,Goat Milk,3
Aube,Brie de Melun,Cow Milk,1
Ain,Chevret,Goat Milk,3
Jura,Pérassu,Cow Milk,1
Lozère,Rebarbe,Sheep Milk,2
Réunion,Takamaka,Goat Milk,3
Savoie,Cow Milkrin des Bauges,Cow Milk,1
Saône-et-Loire,Mâconnais,Goat Milk,3
Seine-Maritime,Neufchâtel,Cow Milk,1
Aveyron,Cabécou,Goat Milk,3
Aube,Soumaintrain,Cow Milk,1
Savoie,Raclette,Cow Milk,1
Loir-et-Cher,Valençay,Goat Milk,3
Aude,Pélardon,Goat Milk,3
Ariège,Bethmale,Cow Milk,1
Nord,Rollot,Cow Milk,1
Loir-et-Cher,Le Petit Trôo,Cow Milk,1
Puy-de-Dôme,Le Lavort,Sheep Milk,2
Pyrénées-Atlantiques,Ardi-Gasna,Sheep Milk,2
Rhône,Mâconnais,Goat Milk,3
Yonne,Boulette de la Pierre-qui-Vire,Cow Milk,1
Lozère,Bleu des Causses,Cow Milk,1
Tarn,Pélardon,Goat Milk,3
Cher,Faisselle,Cow Milk,1
Yonne,Brie de Melun,Cow Milk,1
Haute-Garonne,Cathare,Goat Milk,3
Aube,Chaource,Cow Milk,1
Haute-Garonne,Tomme des Pyrénées,Cow Milk,1
Cher,Crottin de Chavignol,Goat Milk,3
Territoire de Belfort,Gruyère français,Cow Milk,1
Ariège,Montségur,Cow Milk,1
Cantal,Bleu de Thiézac,Cow Milk,1
Jura,La Cow Milk qui rit,Cow Milk,1
Loiret,Patay,Cow Milk,1
Lot,Rocamadour,Goat Milk,3
Eure,Le Pavé du Plessis,Cow Milk,1
Lozère,Persillé du Malzieu,Sheep Milk,2
Nord,Baguette paysanne à la moutarde,Cow Milk,1
Pas-de-Calais,Ch'ti Crémeux,Cow Milk,1
Saône-et-Loire,Charolais,Goat Milk,3
Haut-Rhin,Munster,Cow Milk,1
Pas-de-Calais,Rollot,Cow Milk,1
Haute-Corse,Brin d'amour,Sheep Milk,2
Savoie,Abbaye de Tamié,Cow Milk,1
Ain,Chevret du Haut-Jura,Cow Milk,1
Ardèche,Le Coucouron,Cow Milk,1
Loire,Charolais,Goat Milk,3
Loire,Rigotte de Pélussin,Goat Milk,3
Loiret,Olivet,Cow Milk,1
Pyrénées-Atlantiques,Le Brebiou,Sheep Milk,2
