id,domestic_accomidations,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017
3,Dépense touristique intérieure,140.06789171302933,141.4864083574124,141.50884790988187,138.89301568196564,148.36129685215175
4,Hébergements touristiques marchands ,30.760563832498374,31.245199040872844,31.44117713984281,29.896134669070374,32.05821705165842
5,Restaurants et cafés ,16.031693973380538,16.265275381493588,16.346349293663074,15.6011952659358,16.710099999999997
6,Aliments et boissons ,12.439159253616376,12.582359691396428,12.618113536393583,12.330290522267854,13.0936
7,Serv. de transport non urbain ,27.82301068331599,27.797469210313327,29.450757567348823,28.722901809457742,30.97255253208463
8,"Péages, carburants, location de véhicules de tourisme",16.57020609857133,16.73505797744052,15.791057437711514,15.109627371667312,16.028303730487163
9,Services des voyagistes et agences de voyages ,7.247,7.333,7.64,7.792,8.194
10,"Activités culturelles, sportives et de loisirs ",8.469101998214326,8.703332561130024,8.93928156712059,9.144538360632996,9.673188292258395
11,Autres dépenses1,20.727155873432395,20.824714494765658,19.282111367801477,20.29632768293355,21.631335245663138
12,Hébergements touristiques non marchands,19.05175150969014,19.198288878712155,19.34745076478722,19.48398806469793,19.606687662130646
13,Consommation touristique intérieure,159.11964322271945,160.68469723612455,160.8562986746691,158.37700374666358,167.9679845142824
