id,rank,receiving_country,yr_1990,yr_2000,yr_2017,change_from_2000
3,1,États-Unis,33.83705624613002,108.5,186.6,3.2409225128740227
4,2,Espagne,14.54284529619521,33.4,60.3,3.536243213624979
5,3,France,15.881158423701594,35.705,53.7,2.429768476453864
6,4,Thaïlande,3.403611163781674,8.104797725000486,50.9,11.413993504588937
7,5,Royaume-Uni,12.096745641040972,23.654234727645292,45.3,3.896129915268731
8,6,Italie,12.948828602292833,29.753665890431076,39.2,1.635132560824526
9,7,Australie,3.340668747438047,10.036572853739417,36.9,7.959591070749106
10,8,Allemagne,11.20768401018723,20.230068617096286,35.3,3.328993016784154
11,9,Macao,nd,3.4717840969156843,31.5,13.851484239757106
12,10,Japon,nd,3.7,30.1,13.122988253199885
13,11,Hong Kong,3.95907798801419,6.39271466972598,29.5,9.412480589133354
14,12,Chine1,1.7450784931270813,17.5656258344883,28.9,2.9721213239836786
15,13,Inde,nd,3.7445052915611803,24.2,11.601959161733145
16,14,Turquie,2.5373661588524965,8.263885088543692,19.9,5.305512546597568
17,15,Mexique,nd,9,18.9,4.4609752639329425
18,16,Émirats arabes unis,nd,nd,18.6,nd
19,17,Autriche,10.55623000103068,10.588508604807686,18.1,3.2040387144137927
20,18,Canada,4.98739971502821,11.664242205909366,18,2.58486534026654
21,19,Singapour,nd,5.564811043123581,17.4,6.9358831190545756
28,Source : OMT.,,,,,
