id,attendance_origin,overnights_mil,percentage_change_from_prev_yr
3,France,295.963902879624,5.03528181272876
4,Étranger,132.754125114345,6.75442505370114
5,Europe hors France,102.311160978878,4.78133967532217
6,dont : Allemagne,17.1159321657055,7.07621011377186
7,         Belgique,13.3875065995506,3.83945959576091
8,         Espagne,7.70694054650263,15.314525742427
9,         Italie,6.47404887878923,6.78993640994718
10,         Pays-Bas,17.9977603236047,5.00959051244787
11,         Royaume-Uni,19.2654687264585,-3.60438808253863
12,         Russie,1.81698893032018,31.5115085698115
13,         Suisse,6.09418032531637,6.45440451011377
14,Amérique,13.7104789615703,16.4460429879425
15,dont : Amérique centrale et du Sud,4.49515027627275,20.9038164322686
16,         États-Unis,9.21532868529756,14.3887568110736
17,"Asie, Océanie et Australie",14.0489236855896,13.5719403139798
18,dont : Chine,3.98724317444508,22.1402968833644
19,         Japon,1.43319576702099,17.756164966714
20,         Proche-Orient et Moyen-Orient,3.26600567930478,5.9709317511266
21,Afrique,1.76024371377538,6.72561509107161
22,Total,428.71802799397,5.56162479059619
