id,Sites,Number_of_Visitors_Millions
3,Disneyland,14860
4,Musée du Louvre ,8022.3
5,Domaine de Versailles1,7714.389
6,Tour Eiffel ,6207.303
7,Centre Pompidou,3337.872
8,Musée d'Orsay ,3177.842
9,Cité des sciences et de l'industrie de La Villette   ,2439.072
10,Le Puy du Fou2,2260
11,Cité médiévale de Carcassonne3,2154.331
12,Parc Astérix,2030
13,Parc du Futuroscope,2000
14,Museum d'histoire naturelle ,1763.262
15,Arc de Triomphe,1583.26
16,Château des Ducs de Bretagne ,1471.741
17,Zoo parc de Beauval ,1440.694
